913;Liga niezwykłych dżentelmenów;2003
914;Prosto w serce;2007
915;Była sobie dziewczyna;2009
916;Good Bye Lenin!;2003
917;American Pie: Bractwo Beta;2007
918;Czarny Czwartek. Janek Wiśniewski padł;2011
919;Step Up 3D;2010
920;Polowanie;2012
921;Blue Valentine;2010
922;Rocky Balboa;2006
923;Jarhead: Żołnierz piechoty morskiej;2005
924;Battleship: Bitwa o Ziemię;2012
925;Rocky 3;1982
926;Elita zabójców;2011
927;Pręgi;2004
928;Droga;2009
929;Człowiek pies;2005
930;Samotny mężczyzna;2009
931;Last Vegas;2013
932;Prawdziwe męstwo;2010
933;Rozmowy kontrolowane;1991
